                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                  1.387,                0.95284,                 1.3815,                0.75159,                0.71875,                  0.735,                0.42758,                 1.5287,                 1.0414,                 1.6323,             0.00089938,             0.00089938,             0.00089938
                     87,                 1.3357,                 1.0034,                 1.3663,                 0.8032,                0.67041,                0.74124,                  0.432,                 1.5371,                0.97282,                 1.6256,             0.00089525,             0.00089525,             0.00089525
                     88,                 1.3456,                0.97858,                 1.3807,                0.73015,                0.79671,                0.78237,                0.45029,                 1.5746,                0.99647,                 1.6349,             0.00089112,             0.00089112,             0.00089112
                     89,                 1.3317,                0.94919,                 1.3518,                0.75587,                  0.746,                0.76347,                0.43327,                 1.5983,                 1.0202,                 1.6738,               0.000887,               0.000887,               0.000887
                     90,                 1.3603,                0.95972,                 1.3376,                0.72494,                0.74898,                0.77921,                0.43793,                 1.5781,                0.96389,                 1.6651,             0.00088288,             0.00088288,             0.00088288
                     91,                 1.3247,                0.93966,                 1.3335,                0.80623,                 0.7138,                0.74371,                0.42541,                 1.5947,                0.98852,                 1.6312,             0.00087875,             0.00087875,             0.00087875
                     92,                 1.3599,                0.96691,                 1.3723,                0.82091,                0.69356,                0.74743,                0.41223,                 1.5773,                0.98233,                 1.6404,             0.00087462,             0.00087462,             0.00087462
                     93,                 1.3408,                  0.948,                 1.3415,                0.76595,                0.76965,                0.76445,                0.45231,                 1.5797,                0.93816,                 1.6392,              0.0008705,              0.0008705,              0.0008705
                     94,                 1.3098,                0.94974,                 1.3425,                 0.7891,                0.67043,                0.72061,                0.38844,                 1.6057,                 1.0261,                 1.6395,             0.00086637,             0.00086637,             0.00086637
                     95,                 1.3297,                0.93854,                 1.3377,                0.87123,                0.67327,                0.77257,                0.43521,                 1.5941,                0.97798,                 1.6485,             0.00086225,             0.00086225,             0.00086225
                     96,                 1.2804,                0.89605,                 1.3187,                0.87294,                0.69666,                0.75646,                0.43927,                  1.571,                0.97767,                 1.6339,             0.00085813,             0.00085813,             0.00085813
